VARIABLE,PROBLEMAS_ENCONTRADOS,REGLA_APLICADA,POR_QUE_FUNCIONA,RIESGOS_ASOCIADOS
CODIGO,Sin problemas de integridad; riesgo de perder ceros si se importa como número.,"Conservar como string, aplicar trim y validar ##-##-####-46.",El patrón es estable y la unicidad puede probarse.,Conversión numérica accidental en software externo.
DISTRITO,Vacíos y valores incompletos que no cumplen ##-### o ##-##-####.,Conservar original; usar null en DISTRITO_LIMPIO cuando no sea completo y clasificar estado.,Evita inventar componentes y separa validez de ausencia.,"El prefijo parcial deja de usarse como distrito analítico, pero permanece en el original."
DEPARTAMENTO,Ciudad Capital aparece como origen separado del departamento Guatemala.,Crear DEPARTAMENTO_LIMPIO y DEPARTAMENTO_ANALISIS; codificar 22 departamentos.,Preserva la procedencia y evita doble conteo territorial.,Usar la columna analítica sin la original ocultaría la procedencia.
MUNICIPIO,Mezcla municipios con zonas capitalinas y carece de código explícito.,"Normalizar ortografía, distinguir tipo de ubicación y derivar código desde CODIGO fuera de la capital.",La regla está respaldada por la estructura del identificador y el origen.,No debe interpretarse una zona como municipio independiente.
ESTABLECIMIENTO,"Mayúsculas, tildes omitidas, espacios/puntuación y nombres iguales o similares.","Unicode NFC, espacios, capitalización española, tildes respaldadas, original permanente y detección de candidatos.",Produce texto utilizable sin sustituir nombres por similitud.,Una corrección automática de identidad podría alterar un nombre propio; por eso no se fusiona.
DIRECCION,"Espacios, puntuación, abreviaturas y valores vacíos.",Normalización mecánica conservadora; null solo si no hay contenido utilizable.,Mejora legibilidad sin geocodificar ni inventar datos.,Las abreviaturas pueden tener significado local y se conservan.
TELEFONO,"Vacíos, separadores múltiples, prefijo 502 y formatos no interpretables.",Extraer bloques válidos de ocho dígitos; formato ####-####; null si no es interpretable; conservar original y estado.,Permite validación automática y no inventa dígitos.,Un formato histórico válido podría quedar como null analítico; el original evita pérdida.
SUPERVISOR,"Vacíos, mayúsculas y presentación inconsistente.",Normalización conservadora y null para ausencia real; conservar original.,Facilita informes sin crear identidades de persona.,Homónimos no deben fusionarse.
DIRECTOR,"Alta ausencia, marcadores y presentación inconsistente.","Marcadores/vacíos a null, estado de ausencia y normalización conservadora.",El null tiene significado y no se imputa un nombre.,La falta de director no implica que el establecimiento esté cerrado.
NIVEL,Etiqueta en mayúsculas; dominio esperado único.,Mapear a Diversificado y validar dominio.,La consulta se restringe al nivel solicitado.,"Si se mezclan nuevas fuentes, el dominio deberá ampliarse."
SECTOR,Categoría nominal en mayúsculas.,"Etiquetas legibles, catálogo cerrado y código nominal.",Evita variantes posteriores y mantiene interpretación.,El código no representa jerarquía ni distancia.
AREA,SIN ESPECIFICAR no es una tercera área real.,"Urbana/Rural; SIN ESPECIFICAR a null, con original e indicador.",Representa correctamente la ausencia semántica.,No debe analizarse AREA_COD como escala.
STATUS,Mayúsculas y tildes omitidas en categorías.,"Normalizar etiquetas, validar catálogo y asignar código nominal.",Un catálogo cerrado evita variantes ortográficas.,"El estado es una fotografía administrativa, no evidencia operativa actual."
MODALIDAD,MONOLINGUE/BILINGUE sin diéresis o tilde.,Corregir a Monolingüe/Bilingüe y codificar nominalmente.,Restituye ortografía española sin cambiar significado.,La codificación no es ordinal.
JORNADA,SIN JORNADA es ausencia semántica.,"Jornadas reales en JORNADA_LIMPIA; SIN JORNADA a null, con indicador y original.",Evita tratar ausencia como categoría sustantiva.,La ausencia puede ser informativa y debe conservarse.
PLAN,"Mayúsculas, puntuación compacta y tildes.","Catálogo explícito, etiqueta legible y código nominal.",Controla todas las variantes del dominio observado.,El código no expresa intensidad ni orden.
DEPARTAMENTAL,"Mayúsculas, nombres territoriales y tildes.",Normalización ortográfica conservadora y código nominal.,Facilita agrupación manteniendo el texto original.,No confundir dirección departamental con departamento geográfico.
