CONTROL_ID,CONTROL,CUMPLE,ESPERADO,OBSERVADO
QC01,Filas conservadas,True,11603,11603.0
QC02,CODIGO único,True,11603,11603.0
QC03,CODIGO con patrón,True,11603,11603.0
QC04,Duplicados exactos crudos,True,0,0.0
QC05,Categorías de origen,True,23,23.0
QC06,Departamentos analíticos,True,22,22.0
QC07,Filas Ciudad Capital,True,2161,2161.0
QC08,Null en DISTRITO_LIMPIO,True,591,591.0
QC09,Null en ESTABLECIMIENTO_LIMPIO,True,5,5.0
QC10,Null en DIRECCION_LIMPIA,True,87,87.0
QC11,Null en TELEFONO_LIMPIO,True,933,933.0
QC12,Null en SUPERVISOR_LIMPIO,True,525,525.0
QC13,Null en DIRECTOR_LIMPIO,True,2106,2106.0
QC14,Null en AREA_LIMPIA,True,3,3.0
QC15,Null en JORNADA_LIMPIA,True,1072,1072.0
QC16,Códigos sector completos,True,0,0.0
QC17,Códigos status completos,True,0,0.0
QC18,Todos los candidatos tienen decisión,True,13759,13759.0
QC19,Duplicados parciales no eliminados automáticamente,True,0,0.0
QC20,Libro de códigos cubre el dataset,True,56,56.0
QC21,Filas conservadas tras candidatos,True,11603,11603.0
QC22,Snapshot crudo conserva huella SHA-256,True,64,64.0
QC23,CV01 aprobado,True,True,
QC24,CV02 aprobado,True,True,
QC25,CV03/CV04 zona capital consistente,True,True,
QC26,Etiquetas y códigos consistentes (catálogos sin huecos),True,79,79.0
QC27,Indicadores AREA/JORNADA informados consistentes,True,True,
