REGLA_ID,VARIABLES,ACCION,RAZON,RIESGO,CONTROL,FILAS_AFECTADAS
R01,Todas,Carga como texto y conservación del esquema crudo.,"Evitar pérdida de ceros, guiones y etiquetas.",Conversión automática por software.,"Validar 17 columnas y 11,603 filas.",11603
R02,Campos textuales,"Unicode NFC, trim, espacios y puntuación.",Presentación consistente y reversible.,Alterar puntuación legítima.,Conservar original y registrar diferencias.,64
R03,DISTRITO,Null para vacíos o formatos incompletos; estado separado.,No inventar distritos.,Perder el prefijo parcial en análisis.,Mantener DISTRITO_ORIGINAL y DISTRITO_ESTADO.,591
R04,DEPARTAMENTO/MUNICIPIO,Etiquetas legibles y geografía de 23 orígenes / 22 departamentos.,Evitar doble conteo de Ciudad Capital.,Fusionar procedencias.,Conservar DEPARTAMENTO_ORIGINAL.,11603
R05,ESTABLECIMIENTO,"Capitalización española, tildes respaldadas y clave auxiliar.",Producir nombres utilizables sin deduplicar por similitud.,Corregir un nombre propio sin evidencia.,Original permanente; no reemplazo por similitud difusa.,11591
R06,DIRECCION,Normalización conservadora; null solo en vacíos o puntuación aislada.,Mejorar lectura sin perder referencias.,Modificar abreviaturas válidas.,Conservar DIRECCION_ORIGINAL.,11599
R07,TELEFONO,"Texto normalizado, extracción de candidatos y estado.",No tratar teléfonos como cantidades.,Inventar dígitos faltantes.,El original conserva formatos históricos; TELEFONO_LIMPIO queda null si no es interpretable.,11600
R08,SUPERVISOR/DIRECTOR,Null para ausencias y presentación conservadora.,Separar ausencia de nombres informados.,Fusionar homónimos.,No se asignan identificadores de persona.,2631
R09,AREA,SIN ESPECIFICAR a null en AREA_LIMPIA; indicador y original.,No presentarlo como tercera área.,Perder la razón del null.,AREA_ORIGINAL y AREA_INFORMADA.,3
R10,JORNADA,SIN JORNADA a null en JORNADA_LIMPIA; indicador y original.,Analizar solo jornadas reales.,Perder la razón del null.,JORNADA_ORIGINAL y JORNADA_INFORMADA.,1072
R11,Categorías,Códigos nominales estables en columnas nuevas.,Evitar inconsistencias posteriores.,Interpretar códigos como orden.,Etiquetas legibles y catálogos separados.,11603
R12,Duplicados,No eliminar filas: CODIGO es único y no hay duplicados exactos.,Preservar servicios legítimos.,Confundir nombres repetidos con duplicados.,Pruebas de llave y duplicado exacto.,0
