VARIABLE,DESCRIPCION,TIPO,ADMITE_NULL,DOMINIO_PERMITIDO,VALORES_POSIBLES,TRATAMIENTO_LIMPIEZA,ES_DERIVADA,VARIABLES_ORIGEN,METODO_CALCULO,UTILIDAD,FUENTE,FECHA_EXTRACCION,VERSION_CONJUNTO,EJEMPLO,REGLA_VALIDACION
CODIGO,Identificador textual único del servicio educativo autorizado.,string,No,Véase descripción y catálogo cuando corresponda.,"Texto libre o catálogo amplio (11,603 valores observados)",Derivación documentada y validada automáticamente.,No (campo preservado),CODIGO,Conservación textual,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,16-01-0137-46,"Debe cumplir el tipo, dominio y condición de null documentados."
DISTRITO_ORIGINAL,Valor original: Código de distrito o supervisión educativa publicado por la fuente.,string,No,Texto publicado por MINEDUC; se conserva sin sobrescritura.,"Texto libre o catálogo amplio (1,667 valores observados)",Copia sin sobrescritura del campo crudo.,No (campo preservado),DISTRITO,Conservación textual,Trazabilidad,MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,16-006,"Debe cumplir el tipo, dominio y condición de null documentados."
DISTRITO_LIMPIO,Distrito completo; null cuando la fuente está vacía o incompleta.,string,Sí,Véase descripción y catálogo cuando corresponda.,"Texto libre o catálogo amplio (1,663 valores observados)",Normalización y validación según el plan de la variable de origen.,Sí,DISTRITO,Normalización y validación según el plan de la variable de origen.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,16-006,"Debe cumplir el tipo, dominio y condición de null documentados."
DISTRITO_ESTADO,"Clasificación de completitud del distrito: Válido, Vacío o Incompleto.",string,No,Véase descripción y catálogo cuando corresponda.,Válido; Vacío; Incompleto,"Clasificación derivada para distinguir valor válido, ausencia o formato no estándar.",Sí,DISTRITO,"Clasificación derivada para distinguir valor válido, ausencia o formato no estándar.","Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Válido,"Debe cumplir el tipo, dominio y condición de null documentados."
DEPARTAMENTO_ORIGINAL,Valor original: Categoría territorial de origen utilizada por el portal.,string,No,Texto publicado por MINEDUC; se conserva sin sobrescritura.,ALTA VERAPAZ; BAJA VERAPAZ; CHIMALTENANGO; CHIQUIMULA; CIUDAD CAPITAL; EL PROGRESO; ESCUINTLA; GUATEMALA; HUEHUETENANGO; IZABAL; JALAPA; JUTIAPA; PETEN; QUETZALTENANGO; QUICHE; RETALHULEU; SACATEPEQUEZ; SAN MARCOS; SANTA ROSA; SOLOLA; SUCHITEPEQUEZ; TOTONICAPAN; ZACAPA,Copia sin sobrescritura del campo crudo.,No (campo preservado),DEPARTAMENTO,Conservación textual,Trazabilidad,MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,ALTA VERAPAZ,"Debe cumplir el tipo, dominio y condición de null documentados."
DEPARTAMENTO_LIMPIO,Categoría de origen con presentación ortográfica.,string,No,Véase descripción y catálogo cuando corresponda.,Alta Verapaz; Baja Verapaz; Chimaltenango; Chiquimula; Ciudad Capital; El Progreso; Escuintla; Guatemala; Huehuetenango; Izabal; Jalapa; Jutiapa; Petén; Quetzaltenango; Quiché; Retalhuleu; Sacatepéquez; San Marcos; Santa Rosa; Sololá; Suchitepéquez; Totonicapán; Zacapa,Normalización y validación según el plan de la variable de origen.,Sí,DEPARTAMENTO; MUNICIPIO; CODIGO,Normalización y validación según el plan de la variable de origen.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Alta Verapaz,"Debe cumplir el tipo, dominio y condición de null documentados."
DEPARTAMENTO_ANALISIS,Departamento analítico de 22 categorías; Ciudad Capital se agrega a Guatemala.,string,No,22 departamentos de Guatemala.,Alta Verapaz; Baja Verapaz; Chimaltenango; Chiquimula; Guatemala; El Progreso; Escuintla; Huehuetenango; Izabal; Jalapa; Jutiapa; Petén; Quetzaltenango; Quiché; Retalhuleu; Sacatepéquez; San Marcos; Santa Rosa; Sololá; Suchitepéquez; Totonicapán; Zacapa,Derivación documentada y validada automáticamente.,Sí,DEPARTAMENTO; MUNICIPIO; CODIGO,Derivación documentada y validada automáticamente.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Alta Verapaz,"Debe cumplir el tipo, dominio y condición de null documentados."
DEPARTAMENTO_ANALISIS_COD,Código territorial de dos dígitos del departamento analítico.,string,No,Catálogo documentado; identificador nominal salvo código territorial.,16; 15; 04; 20; 01; 02; 05; 13; 18; 21; 22; 17; 09; 14; 11; 03; 12; 06; 07; 10; 08; 19,Codificación nominal o territorial documentada en catálogo.,Sí,DEPARTAMENTO; MUNICIPIO; CODIGO,Codificación nominal o territorial documentada en catálogo.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,16,"Debe cumplir el tipo, dominio y condición de null documentados."
MUNICIPIO_ORIGINAL,Valor original: Municipio o zona de Ciudad Capital publicado por el portal.,string,No,Texto publicado por MINEDUC; se conserva sin sobrescritura.,Texto libre o catálogo amplio (350 valores observados),Copia sin sobrescritura del campo crudo.,No (campo preservado),MUNICIPIO,Conservación textual,Trazabilidad,MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,COBAN,"Debe cumplir el tipo, dominio y condición de null documentados."
MUNICIPIO_LIMPIO,Municipio o zona con presentación normalizada.,string,No,Véase descripción y catálogo cuando corresponda.,Texto libre o catálogo amplio (350 valores observados),Normalización y validación según el plan de la variable de origen.,Sí,MUNICIPIO; CODIGO; DEPARTAMENTO,Normalización y validación según el plan de la variable de origen.,"Análisis, control de calidad o metadatos",MINEDUC - Búsqueda de centros educativos autorizados,2026-07-10,2.0.0,Cobán,"Debe cumplir el tipo, dominio y condición de null documentados."
